Item Name,Category
L-Cup Soup,Food
L-Bowl Soup,Food
L-Soup/Salad,Food
L-Grace's Sal,Food
inn salad,Food
L-Smokehouse Sal,Food
L-Chkn Art Sal,Food
L-Wedge Salad,Food
L-Chicken Pasta,Food
L-Beef Tips/Rice,Food
L-Spaghetti,Food
L-Special $12,Food
L-Special $10,Food
Fruit & Cottage,Food
L-Special $14,Food
*street taco $12,Food
Stuff Mush,Food
Spin Dip,Food
Single Rib,Food
Potato Chips,Food
Half Rack App,Food
Full Rack App,Food
Shrimp cocktail,Food
French Dip,Food
Meatball Sandwic,Food
Chop Beef Sand,Food
Ham & Chz,Food
Beef Sandwich,Food
Pork Sandwich,Food
Sirloin Wrap,Food
Sampler,Food
Chkn Salad Sand,Food
Sandwich Special,Food
Gr Chix Sand,Food
Pulled Pork Fred,Food
Pastrami Sand,Food
Reuben Sand,Food
b.l.a.t.,Food
1/2 French Dip,Food
1/2 b.l.a.t.,Food
1/2 Reuben,Food
Val Rib,Food
1/2 Pastrami,Food
Pulled Pork Macs,Food
1/2 Grace's Sand,Food
Chicken Wrap,Food
Pork Wrap,Food
Sirloin Wrap,Food
Chez & And,Food
One Meatball,Food
Meatball (3) App,Food
-Tacos,Food
Lunch (2) Mtball,Food
Brie Pastry,Food
2 ex Shrimp tail,Food
Hamburger,Food
Dbl HB,Food
Patty Melt,Food
Stacy HB,Food
Low Cal HB,Food
Waitr,Food
One Meatball NU,Food
Waitr $0.50,Food
Pork Belly App,Food
*FAM2=1#,Food
*FAM4=2#,Food
**FAM SPAG,Food
**FAM Lasagna,Food
*EASTER-2,Food
L-7oz Sirloin,Food
L-Gr Chkn,Food
L-Gr Salmon,Food
L-1/2 Rack,Food
L-Full Rack,Food
L-1/2 Chicken,Food
L-Rib Ends,Food
*EASTER-4,Food
L-Sliced Beef,Food
L-Sliced Pork,Food
L-Rib Ends Sp,Food
l- NU,Food
L-9oz Sirloin,Food
L-Taste of Freds,Food
L-Rib Ends,Food
*EASTER-6-8,Food
*Mothers Day 2,Food
